0,1,2,3
"BILLTO
SHIPTO","BILLTO
SHIPTO",INVOICE #,IN-001
"Kavindra Mannan
Kavindra Mannan","Kavindra Mannan
Kavindra Mannan",INVOICE DATE,29/01/2019
"264,Abdul Rehman
27,DIf City.Gupta
Delhi,Delhi 40003
Mumbai,Bihar 40009","264,Abdul Rehman
27,DIf City.Gupta
Delhi,Delhi 40003
Mumbai,Bihar 40009",P.0.#,2430/2019
,,DUE DATE,26/04/2019
QTY,DESCRIPTION,UNITPRICE,AMOUNT
,Frontend design restructure,"9,999.00","9,999.00"
2,Custom icon package,975.00,"1,950.00"
3,Gandhi mouse pad,99.00,297.00
,,Subtotal,"12,246.00"
,,GST 12.0%,"1,469.52"
,,TOTAL,"13,715.52"
