0,1,2,3
"Ship To
Bill To","Ship To
Bill To",Invoice#,IN-001
"Kavindra Mannan
Kavindra Mannan","Kavindra Mannan
Kavindra Mannan",Invoice Date,29/01/2019
"264,Abdul Rehman
27, DIf City, Gupta","264,Abdul Rehman
27, DIf City, Gupta",P.O.#,2430/2019
,,Due Date,26/04/2019
QTY,DESCRIPTION,UNIT PRICE,AMOUNT
1,Frontend design restructure,"9,999.00","9,999.00"
2,Custom icon package,975.00,"1,950.00"
3,Gandhi mouse pad,99.00,297.00
,,Subtotal,"12,246.00"
,,GST 12.0%,"1,469.52"
,,INVOICE TOTAL,"13,715.52"
